,data,id_cliente,propriedade,produtor,insumos,valor_venda
54,2021-01-05,515,14.4,HF,Fertilizantes,1980.5
55,2021-01-05,594,13.2,HF,Fertilizantes,8230.67
56,2021-01-05,742,7.2,HF,Defensivo,12791.83
57,2021-01-05,829,15.6,HF,Sementes,7477.2
58,2021-01-05,1093,9.6,HF,Defensivo,33597.78
59,2021-01-05,1245,7.2,HF,Sementes,4271.25
60,2021-01-05,1770,20.4,HF,Fertilizantes,18133.19
61,2021-01-05,1813,295.2,Café,Defensivo,174673.99
62,2021-01-05,2251,17550.0,Café,Defensivo,1816169.55
63,2021-01-05,2798,8.4,HF,Defensivo,6903.98
64,2021-01-05,4312,20.4,HF,Sementes,1206.0
65,2021-01-05,4521,8.4,HF,Sementes,180.9
66,2021-01-05,4964,20.4,HF,Defensivo,49597.13
67,2021-01-05,4986,18.0,HF,Fertilizantes,14763.76
68,2021-01-06,70,13.2,HF,Sementes,10050.0
69,2021-01-06,203,7.2,HF,Fertilizantes,4629.75
70,2021-01-06,700,18.0,HF,Fertilizantes,1800.46
71,2021-01-06,801,13.2,HF,Defensivo,1939.02
72,2021-01-06,1072,120.0,Café,Defensivo,58435.96
73,2021-01-06,1560,15.6,HF,Fertilizantes,1543.25
74,2021-01-06,1799,18.0,HF,Fertilizantes,720.18
75,2021-01-06,1863,10.8,HF,Fertilizantes,4526.87
76,2021-01-06,2145,9.6,HF,Fertilizantes,4861.24
77,2021-01-06,2464,20.4,HF,Fertilizantes,10802.75
78,2021-01-06,2852,10.8,HF,Defensivo,40963.17
79,2021-01-06,3075,12.0,HF,Sementes,3165.75
80,2021-01-06,3182,18.0,HF,Defensivo,51469.42
81,2021-01-06,3378,16.8,HF,Sementes,5487.3
82,2021-01-06,3400,10.8,HF,Fertilizantes,3703.8
83,2021-01-06,4134,361.44,Café,Fertilizantes,180211.2
84,2021-01-06,4856,14.4,HF,Defensivo,51799.34
85,2021-01-07,399,10.8,HF,Defensivo,28926.72
86,2021-01-07,476,14.4,HF,Defensivo,50393.82
87,2021-01-07,805,12.0,HF,Sementes,633.15
88,2021-01-07,1562,16.8,Café,Defensivo,5475.26
89,2021-01-07,1849,9.6,HF,Sementes,1283.31
90,2021-01-07,2568,7.2,HF,Defensivo,25385.43
91,2021-01-07,2717,18.0,HF,Defensivo,78068.14
92,2021-01-07,3909,12.0,Café,Defensivo,3148.76
93,2021-01-07,4071,114.0,Café,Defensivo,29017.09
94,2021-01-07,4535,20.4,HF,Sementes,14773.5
95,2021-01-07,4614,16.8,HF,Fertilizantes,1337.48
96,2021-01-07,4962,9.6,HF,Defensivo,37147.25
97,2021-01-08,53,10374.0,Cana,Fertilizantes,1601000.0
98,2021-01-08,450,20.4,HF,Fertilizantes,15818.31
99,2021-01-08,725,12.0,HF,Defensivo,37812.31
100,2021-01-08,878,12.0,HF,Defensivo,27299.61
101,2021-01-08,1187,7.2,HF,Defensivo,22952.95
102,2021-01-08,1395,36.0,Café,Fertilizantes,26265.6
103,2021-01-08,1866,241.92,Café,Fertilizantes,158140.8
104,2021-01-08,1878,10.8,Café,Defensivo,2991.11
105,2021-01-08,2081,16215.6,Cana,Defensivo,532635.69
106,2021-01-08,2216,10.8,HF,Defensivo,7432.25
107,2021-01-08,2860,20.4,HF,Defensivo,1423.04
108,2021-01-08,2913,9.6,HF,Defensivo,7542.82
109,2021-01-08,3038,66.0,Café,Fertilizantes,51680.0
110,2021-01-08,3162,10.8,HF,Fertilizantes,9465.27
111,2021-01-08,4282,13.2,HF,Fertilizantes,7973.46
112,2021-01-08,4770,185.76,HF,Sementes,87012.9
113,2021-01-08,4774,7.2,HF,Sementes,1809.0
114,2021-01-08,4783,18.0,HF,Fertilizantes,360.09
115,2021-01-09,461,14.4,HF,Fertilizantes,13580.6
116,2021-01-09,579,8.4,HF,Defensivo,11698.9
117,2021-01-09,790,14.4,HF,Defensivo,54265.73
118,2021-01-09,1011,14.4,HF,Sementes,11055.0
119,2021-01-09,1822,18.0,HF,Fertilizantes,16564.22
120,2021-01-09,2053,13.2,HF,Fertilizantes,2572.08
121,2021-01-09,2827,9.6,HF,Sementes,2884.35
122,2021-01-09,3933,12.0,HF,Fertilizantes,9259.5
123,2021-01-09,4022,18.0,HF,Sementes,10833.9
124,2021-01-09,4300,8.4,HF,Fertilizantes,6481.65
125,2021-01-09,4353,16.8,HF,Defensivo,6485.43
126,2021-01-09,4770,185.76,HF,Defensivo,512686.82
127,2021-01-10,401,285.12,Café,Fertilizantes,65664.0
128,2021-01-10,552,8.4,HF,Fertilizantes,1234.6
129,2021-01-10,782,8.4,HF,Fertilizantes,1388.92
130,2021-01-10,1132,15493.2,Café,Fertilizantes,1817160.0
131,2021-01-10,1241,15.6,HF,Sementes,11215.8
132,2021-01-10,1723,16.8,HF,Fertilizantes,3678.08
133,2021-01-10,2915,8.4,HF,Fertilizantes,6327.32
134,2021-01-10,2974,20.4,HF,Defensivo,40122.22
135,2021-01-10,2990,2062.08,Café,Fertilizantes,870777.6
136,2021-01-10,3346,10.8,HF,Sementes,5628.0
137,2021-01-10,3384,7.2,HF,Defensivo,22791.56
138,2021-01-10,3831,12.0,HF,Defensivo,5635.48
139,2021-01-10,3837,14.4,HF,Defensivo,45764.87
140,2021-01-10,4095,8.4,HF,Fertilizantes,6173.0
141,2021-01-10,4297,18.0,HF,Fertilizantes,9722.48
142,2021-01-10,4986,18.0,HF,Defensivo,66407.44
143,2021-01-11,196,16.8,HF,Sementes,10060.05
144,2021-01-11,330,321.12,Café,Defensivo,225378.12
145,2021-01-11,589,90.0,Café,Defensivo,45994.86
146,2021-01-11,604,16.8,HF,Defensivo,59440.17
147,2021-01-11,656,13.2,HF,Sementes,1608.0
148,2021-01-11,694,37.2,Café,Defensivo,17035.56
149,2021-01-11,1616,18.0,HF,Defensivo,65468.75
150,2021-01-11,1767,8.4,HF,Fertilizantes,2623.52
151,2021-01-11,1849,9.6,HF,Sementes,140.7
152,2021-01-11,1941,97.2,Café,Fertilizantes,58489.6
153,2021-01-11,3346,10.8,HF,Fertilizantes,2263.43
154,2021-01-11,3777,16.8,HF,Defensivo,16241.88
155,2021-01-11,3933,12.0,HF,Defensivo,24728.38
156,2021-01-11,4607,12.0,HF,Sementes,2984.85
157,2021-01-11,4776,221.76,Café,Fertilizantes,17024.0
158,2021-01-11,4897,174.24,HF,Defensivo,370671.19
159,2021-01-11,4964,20.4,HF,Sementes,1959.75
160,2021-01-12,46,9.6,HF,Defensivo,31741.14
161,2021-01-12,56,75.6,Café,Fertilizantes,55449.6
162,2021-01-12,294,10.8,HF,Fertilizantes,3086.5
163,2021-01-12,551,12.0,HF,Fertilizantes,10185.45
164,2021-01-12,700,18.0,HF,Defensivo,27542.96
165,2021-01-12,1310,8.4,HF,Fertilizantes,7407.6
166,2021-01-12,2106,12.0,HF,Defensivo,25634.93
167,2021-01-12,2495,9.6,HF,Defensivo,18743.25
168,2021-01-12,2798,8.4,HF,Defensivo,11794.3
169,2021-01-12,3220,10.8,HF,Fertilizantes,6584.53
170,2021-01-12,3346,10.8,HF,Defensivo,43676.32
171,2021-01-12,4402,7.2,HF,Defensivo,12248.7
172,2021-01-12,4696,13.2,HF,Defensivo,52062.76
173,2021-01-13,52,25.2,Café,Defensivo,13866.56
174,2021-01-13,302,18.0,HF,Defensivo,7191.82
175,2021-01-13,499,12.0,HF,Defensivo,32799.29
176,2021-01-13,1195,226.08,Café,Defensivo,73254.61
177,2021-01-13,1201,239.04,Café,Defensivo,129194.15
178,2021-01-13,1310,8.4,HF,Defensivo,28073.82
179,2021-01-13,1560,15.6,HF,Defensivo,56498.93
180,2021-01-13,1802,18.0,HF,Fertilizantes,2880.73
181,2021-01-13,1946,12.0,HF,Sementes,1356.75
182,2021-01-13,1946,12.0,HF,Sementes,938.74
183,2021-01-13,1989,15.6,HF,Fertilizantes,3395.15
184,2021-01-13,2697,91.2,Café,Fertilizantes,18878.4
185,2021-01-13,2799,9.6,HF,Fertilizantes,5581.42
186,2021-01-13,3023,14.4,HF,Fertilizantes,9902.52
187,2021-01-13,3333,9.6,HF,Defensivo,21590.41
188,2021-01-13,4693,10.8,HF,Defensivo,41166.83
189,2021-01-14,110,12.0,HF,Defensivo,43467.22
190,2021-01-14,601,20.4,HF,Fertilizantes,19290.62
191,2021-01-14,764,1974.24,Café,Defensivo,1146713.47
192,2021-01-14,1124,7.2,HF,Fertilizantes,1028.83
193,2021-01-14,1432,13.2,HF,Fertilizantes,4372.54
194,2021-01-14,1456,164.16,Café,Defensivo,100598.11
195,2021-01-14,1877,16.8,HF,Defensivo,43305.48
196,2021-01-14,2103,97.2,Café,Fertilizantes,20246.4
197,2021-01-14,2340,14.4,HF,Fertilizantes,7073.23
198,2021-01-14,2439,55.2,Café,Defensivo,34189.88
199,2021-01-14,2817,18.0,Café,Fertilizantes,20854.4
200,2021-01-14,2827,9.6,HF,Fertilizantes,5041.28
201,2021-01-14,2913,9.6,HF,Defensivo,23025.43
202,2021-01-14,3390,116.4,Café,Defensivo,86801.61
203,2021-01-14,3587,16.8,HF,Defensivo,23801.42
204,2021-01-14,3750,8.4,HF,Sementes,663.3
205,2021-01-14,3950,14.4,HF,Defensivo,27583.08
206,2021-01-14,4235,16.8,HF,Fertilizantes,1337.48
207,2021-01-14,4262,7.2,HF,Fertilizantes,1800.46
208,2021-01-14,4323,8.4,HF,Sementes,4703.4
209,2021-01-14,4341,112.8,Café,Fertilizantes,98192.0
210,2021-01-14,4342,10.8,HF,Sementes,2894.4
211,2021-01-14,4696,13.2,HF,Fertilizantes,5658.58
212,2021-01-14,4753,8.4,Café,Fertilizantes,7843.2
213,2021-01-14,4774,7.2,HF,Fertilizantes,3986.73
214,2021-01-15,441,15.6,HF,Sementes,4462.2
215,2021-01-15,725,12.0,HF,Sementes,2261.25
216,2021-01-15,884,54.0,Café,Defensivo,27559.26
217,2021-01-15,1016,347.04,Café,Fertilizantes,166440.0
218,2021-01-15,1444,18.0,HF,Sementes,8301.3
219,2021-01-15,1494,13.2,HF,Fertilizantes,12088.79
220,2021-01-15,1644,18.0,HF,Sementes,14070.0
221,2021-01-15,2051,18.0,HF,Sementes,256.74
222,2021-01-15,2593,7.2,HF,Defensivo,12168.7
223,2021-01-15,2747,14.4,HF,Defensivo,34775.45
224,2021-01-15,2965,8.4,HF,Fertilizantes,2777.85
225,2021-01-15,3162,10.8,HF,Defensivo,27033.05
226,2021-01-15,3308,13.2,HF,Fertilizantes,4886.96
227,2021-01-15,3399,96.0,Café,Defensivo,36176.77
228,2021-01-15,3501,20.4,HF,Defensivo,36711.7
229,2021-01-15,4175,15.6,HF,Fertilizantes,13889.25
230,2021-01-15,4286,1764.0,Café,Fertilizantes,1591683.2
231,2021-01-15,4333,16.8,HF,Defensivo,44562.74
232,2021-01-15,4614,16.8,HF,Defensivo,6299.14
233,2021-01-15,4816,2799.36,Café,Fertilizantes,53716.8
234,2021-01-15,4987,18.0,HF,Fertilizantes,10442.66
235,2021-01-16,375,14.4,HF,Defensivo,50834.09
236,2021-01-16,782,8.4,HF,Sementes,4401.9
237,2021-01-16,1708,8.4,HF,Fertilizantes,2623.52
238,2021-01-16,1714,2121.12,Café,Defensivo,1719017.83
239,2021-01-16,1725,352.8,Café,Defensivo,128622.17
240,2021-01-16,1765,13.2,HF,Sementes,6130.5
241,2021-01-16,1863,10.8,HF,Defensivo,44315.79
242,2021-01-16,1878,10.8,Café,Fertilizantes,2918.4
243,2021-01-16,2230,15.6,HF,Defensivo,38421.59
244,2021-01-16,2321,15.6,HF,Defensivo,39160.41
245,2021-01-16,2894,938.88,Café,Defensivo,398092.84
246,2021-01-16,3322,18.0,HF,Fertilizantes,2520.64
247,2021-01-16,3704,20.4,HF,Sementes,11607.75
248,2021-01-16,3711,1752.48,Café,Fertilizantes,571580.8
249,2021-01-16,3793,8.4,Café,Fertilizantes,3283.2
250,2021-01-16,4333,16.8,HF,Fertilizantes,3343.71
251,2021-01-16,4769,61.2,Café,Defensivo,48128.36
252,2021-01-16,4800,16.8,HF,Sementes,9145.5
253,2021-01-16,4800,16.8,HF,Fertilizantes,13709.2
254,2021-01-17,155,16.8,HF,Defensivo,9976.71
255,2021-01-17,164,18.0,HF,Fertilizantes,720.18
256,2021-01-17,568,2793.6,Café,Defensivo,2114478.47
257,2021-01-17,810,10.8,HF,Sementes,241.2
258,2021-01-17,1834,92.4,Café,Defensivo,35076.25
259,2021-01-17,2367,44.4,Café,Defensivo,10194.6
260,2021-01-17,2593,7.2,HF,Fertilizantes,6173.0
261,2021-01-17,2747,14.4,HF,Sementes,6743.55
262,2021-01-17,3044,20.4,HF,Fertilizantes,8873.69
263,2021-01-17,3101,9.6,HF,Fertilizantes,2880.73
264,2021-01-17,3657,10.8,HF,Defensivo,32639.94
265,2021-01-17,3679,22456.8,Cana,Defensivo,529325.87
266,2021-01-17,4235,16.8,HF,Fertilizantes,4346.82
267,2021-01-17,4267,14430.0,Cana,Fertilizantes,311752.0
268,2021-01-17,4787,8.4,Café,Defensivo,3893.87
269,2021-01-17,4800,16.8,HF,Defensivo,35810.95
270,2021-01-18,123,2828.4,Café,Fertilizantes,2605888.0
271,2021-01-18,302,18.0,HF,Fertilizantes,6841.74
272,2021-01-18,416,20.4,HF,Fertilizantes,18133.19
273,2021-01-18,451,13.2,HF,Sementes,6532.5
274,2021-01-18,741,2721.6,Café,Fertilizantes,3071555.2
275,2021-01-18,1357,223.2,Café,Defensivo,36755.22
276,2021-01-18,1446,56.4,Café,Defensivo,35580.0
277,2021-01-18,1607,18.0,HF,Fertilizantes,6841.74
278,2021-01-18,1652,13509.6,Cana,Defensivo,1022134.88
279,2021-01-18,1762,100.8,Café,Fertilizantes,110899.2
280,2021-01-18,1875,12.0,HF,Fertilizantes,3009.34
281,2021-01-18,2007,10.8,HF,Sementes,5145.6
282,2021-01-18,2080,16.8,HF,Defensivo,38482.79
283,2021-01-18,2144,9.6,HF,Fertilizantes,1440.37
284,2021-01-18,2223,313.92,Café,Defensivo,164112.71
285,2021-01-18,3322,18.0,HF,Defensivo,12864.65
286,2021-01-18,3517,335.52,Café,Fertilizantes,206233.6
287,2021-01-18,3885,13.2,HF,Fertilizantes,11831.58
288,2021-01-18,4496,10.8,HF,Fertilizantes,1028.83
289,2021-01-18,4654,2853.6,Café,Defensivo,1695239.57
290,2021-01-18,4865,15.6,HF,Fertilizantes,7407.6
291,2021-01-18,4957,1599.84,Café,Fertilizantes,829008.0
292,2021-01-19,131,18.0,HF,Defensivo,25550.29
293,2021-01-19,395,12.0,HF,Fertilizantes,5324.21
294,2021-01-19,460,15.6,HF,Fertilizantes,11111.4
295,2021-01-19,517,7.2,HF,Fertilizantes,514.42
296,2021-01-19,555,15.6,HF,Defensivo,43009.79
297,2021-01-19,601,20.4,HF,Defensivo,5053.54
298,2021-01-19,807,20.4,HF,Defensivo,77784.81
299,2021-01-19,1172,111.6,Café,Defensivo,39396.93
300,2021-01-19,1426,18.0,HF,Fertilizantes,3240.82
301,2021-01-19,1435,18.0,HF,Defensivo,29943.31
302,2021-01-19,1551,10.8,HF,Fertilizantes,4732.63
303,2021-01-19,2853,74.4,Café,Fertilizantes,57881.6
304,2021-01-19,3278,1465.92,Café,Defensivo,765227.22
305,2021-01-19,3316,9.6,HF,Sementes,2954.7
306,2021-01-19,3326,20.4,HF,Sementes,452.25
307,2021-01-19,3340,13.2,Café,Fertilizantes,1520.0
308,2021-01-19,3392,9.6,HF,Defensivo,313.91
309,2021-01-19,3508,336.96,Café,Defensivo,190286.55
310,2021-01-19,3742,10672.8,Cana,Fertilizantes,263520.0
311,2021-01-19,3836,15.6,HF,Sementes,1929.6
312,2021-01-19,3836,15.6,HF,Sementes,113.01
313,2021-01-19,3893,14.4,HF,Defensivo,27337.42
314,2021-01-19,3989,9.6,HF,Fertilizantes,1080.28
315,2021-01-19,4198,9.6,HF,Fertilizantes,8642.2
316,2021-01-19,4312,20.4,HF,Fertilizantes,7330.44
317,2021-01-19,4375,18.0,HF,Fertilizantes,6121.56
318,2021-01-19,4606,16.8,HF,Fertilizantes,12371.72
319,2021-01-19,4730,14.4,HF,Sementes,11055.0
320,2021-01-20,346,8.4,HF,Sementes,361.8
321,2021-01-20,656,13.2,HF,Sementes,414.35
322,2021-01-20,1031,299.52,Café,Fertilizantes,166622.4
323,2021-01-20,1362,14.4,HF,Fertilizantes,11317.17
324,2021-01-20,1417,66.0,Café,Fertilizantes,60800.0
325,2021-01-20,1765,13.2,HF,Defensivo,25632.27
326,2021-01-20,1890,93.6,Café,Defensivo,39211.0
327,2021-01-20,1946,12.0,HF,Fertilizantes,231.49
328,2021-01-20,2163,8.4,HF,Fertilizantes,3240.82
329,2021-01-20,2478,174.24,Café,Fertilizantes,133760.0
330,2021-01-20,2636,49.2,Café,Defensivo,20449.81
331,2021-01-20,3365,9.6,HF,Defensivo,2265.96
332,2021-01-20,3513,13.2,HF,Defensivo,2040.64
333,2021-01-20,3613,18.0,HF,Defensivo,73218.99
334,2021-01-20,3725,7.2,HF,Sementes,3216.0
335,2021-01-20,3734,187.2,Café,Fertilizantes,14348.8
336,2021-01-20,3862,264.96,Café,Defensivo,68891.85
337,2021-01-20,4109,8.4,HF,Fertilizantes,154.33
338,2021-01-20,4203,20.4,HF,Defensivo,31539.48
339,2021-01-20,4226,16.8,HF,Defensivo,36175.53
340,2021-01-20,4584,7.2,HF,Defensivo,18597.89
341,2021-01-20,4662,15.6,HF,Defensivo,45020.59
342,2021-01-20,4798,76.8,Café,Defensivo,31846.77
343,2021-01-20,4807,9.6,HF,Defensivo,33220.05
344,2021-01-20,4807,9.6,HF,Fertilizantes,3961.01
345,2021-01-20,4828,20.4,Café,Fertilizantes,18696.0
346,2021-01-21,54,8.4,HF,Defensivo,16814.7
347,2021-01-21,261,7.2,HF,Fertilizantes,643.02
348,2021-01-21,357,20.4,HF,Defensivo,56748.47
349,2021-01-21,1073,97.2,Café,Fertilizantes,6748.8
350,2021-01-21,1138,110.4,Café,Defensivo,58997.98
351,2021-01-21,1202,12.0,HF,Fertilizantes,8102.06
352,2021-01-21,1228,249.12,Café,Fertilizantes,57273.6
353,2021-01-21,1367,2727.6,Café,Defensivo,2216922.2
354,2021-01-21,1426,18.0,HF,Sementes,10130.4
355,2021-01-21,1477,18.0,HF,Defensivo,79009.18
356,2021-01-21,1478,8.4,HF,Fertilizantes,2314.88
357,2021-01-21,1739,325.44,Café,Fertilizantes,292904.0
358,2021-01-21,1776,12.0,HF,Fertilizantes,2314.88
359,2021-01-21,1822,18.0,HF,Sementes,11959.5
360,2021-01-21,1896,52.8,Café,Defensivo,19026.09
361,2021-01-21,2053,13.2,HF,Sementes,7638.0
362,2021-01-21,2376,27.6,Café,Defensivo,7935.25
363,2021-01-21,2506,171.36,HF,Defensivo,513931.5
364,2021-01-21,2844,180.0,Café,Defensivo,52278.58
365,2021-01-21,2915,8.4,HF,Fertilizantes,5555.7
366,2021-01-21,3190,12.0,HF,Defensivo,45221.74
367,2021-01-21,3220,10.8,HF,Sementes,2186.04
368,2021-01-21,4162,70.8,Café,Defensivo,45205.46
369,2021-01-21,4458,13.2,HF,Defensivo,19318.03
370,2021-01-21,4487,298.08,Café,Fertilizantes,245753.6
371,2021-01-21,4548,80.4,Café,Fertilizantes,46360.0
372,2021-01-21,4765,335.52,Café,Defensivo,212022.01
373,2021-01-21,4816,2799.36,Café,Defensivo,1400360.18
374,2021-01-22,1457,15790.8,Cana,Fertilizantes,1218400.0
375,2021-01-22,1575,15.6,HF,Fertilizantes,2160.55
376,2021-01-22,1896,52.8,Café,Defensivo,6342.03
377,2021-01-22,2039,7.2,HF,Defensivo,16551.84
378,2021-01-22,2333,10.8,HF,Defensivo,19537.03
379,2021-01-22,2333,10.8,HF,Defensivo,21165.12
380,2021-01-22,2405,12.0,HF,Defensivo,40118.51
381,2021-01-22,2516,8.4,HF,Defensivo,27275.48
382,2021-01-22,2577,357.12,Café,Fertilizantes,266760.0
383,2021-01-22,2798,8.4,HF,Fertilizantes,2777.85
384,2021-01-22,2799,9.6,HF,Defensivo,3422.4
385,2021-01-22,2860,20.4,HF,Fertilizantes,9645.31
386,2021-01-22,2966,16.8,HF,Fertilizantes,12706.09
387,2021-01-22,3023,14.4,HF,Sementes,2432.1
388,2021-01-22,3194,16.8,HF,Sementes,1306.5
389,2021-01-22,3384,7.2,HF,Sementes,2361.75
390,2021-01-22,3462,66.0,Café,Defensivo,57427.54
391,2021-01-22,3475,246.24,Café,Defensivo,145227.85
392,2021-01-22,4264,184.32,Café,Fertilizantes,141056.0
393,2021-01-22,4282,13.2,HF,Defensivo,47752.52
394,2021-01-22,4847,224.64,Café,Fertilizantes,4316.8
395,2021-01-22,4852,69.6,Café,Defensivo,51237.98
396,2021-01-22,4895,20.4,HF,Sementes,5239.91
397,2021-01-23,30,10.8,HF,Defensivo,25353.84
398,2021-01-23,96,17476.8,Cana,Fertilizantes,2157600.0
399,2021-01-23,406,14.4,HF,Defensivo,36049.72
400,2021-01-23,420,198.72,Café,Defensivo,47026.35
401,2021-01-23,424,8.4,Café,Fertilizantes,5107.2
402,2021-01-23,448,8.4,HF,Defensivo,2715.4
403,2021-01-23,810,10.8,HF,Fertilizantes,10082.57
404,2021-01-23,837,8.4,HF,Defensivo,11944.5
405,2021-01-23,838,390.24,Café,Defensivo,362141.81
406,2021-01-23,1219,9.6,HF,Sementes,3517.5
407,2021-01-23,1494,13.2,HF,Sementes,5326.5
408,2021-01-23,1665,18.0,HF,Sementes,4361.7
409,2021-01-23,1770,20.4,HF,Sementes,9648.0
410,2021-01-23,2115,8.4,HF,Defensivo,29171.94
411,2021-01-23,2263,2505.6,Café,Fertilizantes,2711862.4
412,2021-01-23,2378,840.96,Café,Fertilizantes,468129.6
413,2021-01-23,2775,272.16,Café,Fertilizantes,78432.0
414,2021-01-23,3104,7279.2,Cana,Defensivo,539928.43
415,2021-01-23,3427,20.4,HF,Fertilizantes,10802.75
416,2021-01-23,3671,16.8,HF,Defensivo,51673.31
417,2021-01-23,3862,264.96,Café,Fertilizantes,213225.6
418,2021-01-23,4017,7.2,HF,Defensivo,32681.5
419,2021-01-23,4188,10.8,HF,Defensivo,35816.85
420,2021-01-23,4201,108.0,Café,Fertilizantes,7478.4
421,2021-01-23,4297,18.0,HF,Sementes,3658.2
422,2021-01-23,4300,8.4,HF,Fertilizantes,6018.68
423,2021-01-23,4320,16.8,HF,Fertilizantes,10699.87
424,2021-01-23,4353,16.8,HF,Defensivo,46839.19
425,2021-01-23,4371,61.2,Café,Defensivo,7182.31
426,2021-01-23,4388,13798.8,Cana,Defensivo,1241808.53
427,2021-01-23,4478,120.0,Café,Fertilizantes,94240.0
428,2021-01-23,4489,25.2,Café,Defensivo,10686.01
429,2021-01-23,4774,7.2,HF,Defensivo,22584.12
430,2021-01-23,4799,18.0,HF,Fertilizantes,17644.49
431,2021-01-24,156,226.08,Café,Defensivo,75003.84
432,2021-01-24,196,16.8,HF,Defensivo,33825.41
433,2021-01-24,441,15.6,HF,Fertilizantes,6790.3
434,2021-01-24,587,342.72,Café,Fertilizantes,275788.8
435,2021-01-24,642,12.0,HF,Sementes,1899.45
436,2021-01-24,852,18358.8,Cana,Fertilizantes,2776536.0
437,2021-01-24,874,12.0,HF,Sementes,5969.7
438,2021-01-24,982,7.2,HF,Defensivo,5330.63
439,2021-01-24,1225,218.88,Café,Defensivo,63948.77
440,2021-01-24,1231,394.56,Café,Fertilizantes,121113.6
441,2021-01-24,1343,9.6,HF,Sementes,5979.75
442,2021-01-24,1467,24739.2,Cana,Defensivo,942736.34
443,2021-01-24,1610,20.4,HF,Defensivo,57150.56
444,2021-01-24,1890,93.6,Café,Defensivo,16145.71
445,2021-01-24,1972,2811.6,Café,Defensivo,968754.43
446,2021-01-24,1993,30.0,Café,Defensivo,27468.54
447,2021-01-24,2321,15.6,HF,Fertilizantes,1234.6
448,2021-01-24,2654,15.6,HF,Defensivo,48526.36
449,2021-01-24,2886,16.8,HF,Fertilizantes,7690.53
450,2021-01-24,3128,20.4,HF,Sementes,12512.25
451,2021-01-24,3326,20.4,HF,Fertilizantes,13503.44
452,2021-01-24,3365,9.6,HF,Fertilizantes,8822.25
453,2021-01-24,3671,16.8,HF,Fertilizantes,2340.6
454,2021-01-24,3712,1418.4,Café,Fertilizantes,136040.0
455,2021-01-24,3748,8.4,HF,Defensivo,11540.4
